graphID,participantID,xCoordTour,yCoordTour,tourCost,sdAnglesHull,noAnglesHull,meanAnglesHull,totalEdges,crossError,resultsfromNN,No. of crossings,On last
14,0.537568104,"94,90,89,81,82,65,50,46,40,44,18,9,13,12,27,30,15,9,2,7,4,4,13,16,16,23,43,46,49,53,58,51,43,46,48,50,50,53,54,62,66,73,84,83,90,83,76,79,83,81,90","40,32,8,13,5,9,18,15,12,4,4,5,6,11,35,56,59,54,46,76,76,84,99,97,85,97,81,96,88,85,84,72,56,35,46,50,50,50,42,38,71,94,95,79,78,67,59,56,50,46,45",616.6952244,26.85,11,147.27,50,0,738.37,,
13,0.537568104,"96,98,99,96,88,87,85,75,73,76,75,74,64,65,56,58,42,29,27,16,12,2,3,1,5,1,2,11,20,18,14,9,15,17,25,46,43,46,40,37,26,31,34,40,36,40,46,54,83,85","47,24,19,18,28,42,51,52,39,37,29,12,7,38,33,25,6,31,8,19,13,16,25,34,47,64,81,89,85,72,71,62,48,53,46,50,52,67,71,73,79,79,83,85,95,99,94,88,91,87",625.739551,25.29,13,180,50,0,653.11,,
3,0.537568104,"99,82,84,88,79,57,50,36,10,9,6,8,21,31,30,40,50,53,72,99","52,51,40,39,28,31,26,3,27,57,87,98,71,59,53,51,56,84,85,70",380.1292283,28.09,8,135,20,0,569.58,,
11,0.537568104,"94,90,85,77,81,83,74,66,62,54,56,48,56,49,42,36,37,25,19,15,17,8,12,17,2,12,17,22,27,33,34,45,52,58,55,56,64,65,68,83","43,70,84,87,77,71,65,79,88,96,76,80,66,67,66,81,96,95,90,96,71,70,63,58,27,30,46,48,51,58,29,25,35,30,24,12,2,17,10,5",535.1270763,26.79,9,140.1,40,0,568.39,,
0,0.537568104,"89,73,61,41,26,7,1,11,57,94","39,60,55,96,64,51,39,13,4,23",289.8833337,32,7,128.57,10,0,289.88,,
5,0.537568104,"97,91,89,63,30,2,6,8,12,39,47,28,30,46,52,60,66,73,72,86","19,45,64,91,84,51,20,7,35,54,48,35,18,13,26,27,44,52,13,9",452.3725357,23.34,8,135,20,0,474,,
10,0.537568104,"96,92,75,65,62,52,46,12,16,19,22,13,15,10,7,17,21,23,28,27,24,30,32,41,43,47,59,66,70,62,68,70,81,83,83,94,99,92,96,98","9,3,6,14,22,28,4,11,22,33,44,57,63,80,85,99,97,90,86,67,65,49,56,66,78,78,75,89,77,46,46,36,35,54,65,69,55,49,44,40",516.876884,20.6,9,140,40,0,644.39,,
8,0.537568104,"97,94,95,94,91,96,91,81,59,52,51,34,31,26,21,21,19,14,7,1,0,7,28,20,24,50,68,79,88,80","2,15,25,30,58,67,73,90,96,97,91,88,86,81,97,91,87,94,90,42,18,6,14,27,47,66,51,73,24,5",514.6234817,27.56,11,147.27,30,0,593.5,,
4,0.537568104,"99,77,58,83,84,93,79,74,66,28,40,45,26,27,21,18,11,0,0,13","22,11,8,37,59,87,82,60,94,98,75,54,71,64,57,44,51,57,24,9",509.0322023,25.36,9,139.75,20,1,548.01,1,T
9,0.537568104,"94,86,75,68,64,48,33,53,55,59,49,68,75,87,85,92,99,97,94,88,80,73,65,52,48,39,44,50,50,46,38,31,19,16,0,1,8,9,3,4","7,4,5,4,14,12,8,21,25,31,31,41,48,15,51,63,71,77,81,91,67,62,90,99,99,94,79,78,62,50,40,40,81,94,97,84,83,60,50,21",675.3762184,28.76,11,147.27,40,1,649.17,1,T
7,0.537568104,"98,95,85,76,65,55,51,45,40,28,3,6,8,5,0,10,24,28,42,48,40,32,28,35,39,37,61,82,93,86,88","22,19,20,11,2,3,10,20,12,4,3,9,42,48,55,65,67,75,87,83,70,64,28,27,24,42,41,42,56,64,92",501.7703344,30.14,8,135,30,0,522.3,,
12,0.537568104,"98,85,85,87,96,99,91,80,72,68,61,57,56,57,48,44,38,30,17,20,30,11,0,19,5,0,1,12,9,21,17,22,27,26,30,25,32,38,39,51,47,45,40,36,31,31,45,56,67,62","34,22,30,39,64,98,76,51,30,13,26,25,13,5,9,11,5,4,5,9,15,22,20,34,56,60,82,99,83,96,78,80,71,61,53,39,36,41,58,60,63,70,77,85,86,91,92,75,77,91",729.8588716,27.03,10,144,50,1,816.69,1,T
1,0.537568104,"41,21,22,13,38,37,66,75,95,93","14,2,17,28,30,47,51,50,65,90",275.1757685,49.73,6,120,10,1,275.5,1,T
2,0.537568104,"98,90,92,68,36,23,29,31,9,61","34,67,82,84,96,89,84,56,50,27",275.3135394,23.37,6,120,10,0,280.33,,
6,0.537568104,"90,65,51,41,21,20,13,0,1,2,14,17,28,30,38,47,51,33,22,30,35,37,50,53,63,66,65,82,89,95,93","4,18,6,6,13,18,40,53,80,85,73,72,82,95,95,93,73,65,46,45,53,49,61,62,76,73,55,63,73,79,95",513.3412089,29.23,9,140,30,1,520.95,1,T
11,0.263433801,"94,83,68,65,64,56,55,58,52,45,34,2,12,17,22,27,33,17,12,8,17,15,19,25,37,36,42,48,49,56,56,54,62,66,74,77,85,81,83,90","43,5,10,17,2,12,24,30,35,25,29,27,30,46,48,51,58,58,63,70,71,96,90,95,96,81,66,80,67,66,76,96,88,79,65,87,84,77,71,70",526.7479009,26.79,9,140.1,40,0,568.39,,
3,0.263433801,"99,99,72,53,50,40,30,31,21,8,6,9,10,36,50,57,79,88,84,82","52,70,85,84,56,51,53,59,71,98,87,57,27,3,26,31,28,39,40,51",380.1292283,28.09,8,135,20,0,569.58,,
7,0.263433801,"98,95,85,76,65,55,51,45,40,39,35,28,28,3,6,8,5,0,10,24,28,32,37,40,42,48,61,82,93,86,88","22,19,20,11,2,3,10,20,12,24,27,28,4,3,9,42,48,55,65,67,75,64,42,70,87,83,41,42,56,64,92",524.8422849,30.14,8,135,30,0,522.3,,
14,0.263433801,"94,90,81,83,79,76,83,90,83,84,73,66,58,53,51,49,46,43,23,16,13,16,4,4,7,2,9,15,30,43,48,50,50,53,54,62,46,27,12,9,13,18,44,40,46,50,65,82,81,89,90","40,45,46,50,56,59,67,78,79,95,94,71,84,85,72,88,96,81,97,97,99,85,84,76,76,46,54,59,56,56,46,50,50,50,42,38,35,35,11,5,6,4,4,12,15,18,9,5,13,8,32",584.9799896,26.85,11,147.27,50,0,738.37,,
13,0.263433801,"96,85,83,54,46,40,36,40,46,40,37,34,31,26,20,11,2,18,14,9,1,17,15,5,1,3,2,12,16,27,29,25,43,46,56,58,42,64,65,73,76,75,74,96,99,98,88,87,75,85","47,87,91,88,94,99,95,85,67,71,73,83,79,79,85,89,81,72,71,62,64,53,48,47,34,25,16,13,19,8,31,46,52,50,33,25,6,7,38,39,37,29,12,18,19,24,28,42,52,51",627.9569555,25.29,13,180,50,0,653.11,,
6,0.263433801,"90,65,51,41,21,20,13,0,1,2,30,38,47,93,95,89,82,66,63,65,53,50,51,28,14,17,33,35,37,30,22","4,18,6,6,13,18,40,53,80,85,95,95,93,95,79,73,63,73,76,55,62,61,73,82,73,72,65,53,49,45,46",534.7385245,29.23,9,140,30,0,520.95,,
1,0.263433801,"41,21,22,13,38,37,66,75,95,93","14,2,17,28,30,47,51,50,65,90",275.1757685,49.73,6,120,10,1,275.5,1,T
10,0.263433801,"96,92,75,65,62,52,46,12,16,19,22,13,15,10,7,17,21,23,28,27,24,32,30,41,43,47,59,66,70,62,68,70,81,83,83,94,99,92,96,98","9,3,6,14,22,28,4,11,22,33,44,57,63,80,85,99,97,90,86,67,65,56,49,66,78,78,75,89,77,46,46,36,35,54,65,69,55,49,44,40",518.6253038,20.6,9,140,40,0,644.39,,
12,0.263433801,"98,87,85,85,68,57,56,48,44,38,30,20,17,0,11,19,5,0,1,9,12,21,22,17,27,26,25,30,32,30,38,39,31,31,36,40,45,47,51,45,56,62,67,99,91,96,80,72,61,57","34,39,30,22,13,5,13,9,11,5,4,9,5,20,22,34,56,60,82,83,99,96,80,78,71,61,39,53,36,15,41,58,86,91,85,77,70,63,60,92,75,91,77,98,76,64,51,30,26,25",748.0508677,27.03,10,144,50,1,816.69,1,T
5,0.263433801,"97,91,89,63,30,2,12,6,8,30,28,39,47,73,66,60,52,46,72,86","19,45,64,91,84,51,35,20,7,18,35,54,48,52,44,27,26,13,13,9",414.899111,23.34,8,135,20,0,474,,
2,0.263433801,"98,90,92,68,36,23,29,31,9,61","34,67,82,84,96,89,84,56,50,27",275.3135394,23.37,6,120,10,0,280.33,,
4,0.263433801,"99,77,58,83,84,93,79,74,66,45,40,28,26,27,21,18,11,0,0,13","22,11,8,37,59,87,82,60,94,54,75,98,71,64,57,44,51,57,24,9",517.5785591,25.36,9,139.75,20,1,548.01,1,T
8,0.263433801,"97,80,94,95,94,88,91,96,91,81,79,68,50,59,52,51,34,31,26,21,21,19,14,7,24,20,28,7,0,1","2,5,15,25,30,24,58,67,73,90,73,51,66,96,97,91,88,86,81,97,91,87,94,90,47,27,14,6,18,42",557.8055222,27.56,11,147.27,30,1,593.5,1,T
0,0.263433801,"89,94,57,11,1,7,26,41,61,73","39,23,4,13,39,51,64,96,55,60",289.8833337,32,7,128.57,10,0,289.88,,
9,0.263433801,"94,87,86,75,68,64,48,53,49,55,59,68,75,73,80,85,92,99,97,94,88,65,52,48,39,44,50,50,46,38,31,33,4,3,9,8,19,16,0,1","7,15,4,5,4,14,12,21,31,25,31,41,48,62,67,51,63,71,77,81,91,90,99,99,94,79,78,62,50,40,40,8,21,50,60,83,81,94,97,84",639.4194884,28.76,11,147.27,40,1,649.17,1,T
6,0.21046504,"90,65,51,41,21,20,13,0,1,2,14,17,22,30,37,35,33,28,30,38,47,51,50,53,63,66,65,82,93,95,89","4,18,6,6,13,18,40,53,80,85,73,72,46,45,49,53,65,82,95,95,93,73,61,62,76,73,55,63,95,79,73",505.752068,29.23,9,140,30,0,520.95,,
1,0.21046504,"41,21,22,13,38,37,66,75,93,95","14,2,17,28,30,47,51,50,90,65",276.2287878,49.73,6,120,10,0,275.5,,
3,0.21046504,"99,88,84,79,57,50,36,10,9,6,8,21,31,30,40,50,53,72,82,99","52,39,40,28,31,26,3,27,57,87,98,71,59,53,51,56,84,85,51,70",397.7845155,28.09,8,135,20,0,569.58,,
14,0.21046504,"94,90,90,83,81,79,76,83,90,83,84,73,66,58,51,53,49,43,46,23,16,13,16,4,4,7,2,9,15,30,27,12,9,13,18,44,40,46,50,46,43,48,50,50,53,54,62,65,81,82,89","40,32,45,50,46,56,59,67,78,79,95,94,71,84,72,85,88,81,96,97,97,99,85,84,76,76,46,54,59,56,35,11,5,6,4,4,12,15,18,35,56,46,50,50,50,42,38,9,13,5,8",618.7155733,26.85,11,147.27,50,0,738.37,,
4,0.21046504,"99,77,83,84,93,74,79,66,45,40,28,26,27,21,18,11,0,0,13,58","22,11,37,59,87,60,82,94,54,75,98,71,64,57,44,51,57,24,9,8",489.00897,25.36,9,139.75,20,1,548.01,1,T
7,0.21046504,"98,95,85,82,93,86,88,61,48,42,40,32,28,24,10,0,5,8,6,3,28,28,37,35,39,40,45,51,55,65,76","22,19,20,42,56,64,92,41,83,87,70,64,75,67,65,55,48,42,9,3,4,28,42,27,24,12,20,10,3,2,11",508.870103,30.14,8,135,30,1,522.3,1,T
8,0.21046504,"97,94,95,94,91,96,91,79,81,59,52,51,34,31,26,19,21,21,14,7,1,0,7,28,20,24,50,68,88,80","2,15,25,30,58,67,73,73,90,96,97,91,88,86,81,87,91,97,94,90,42,18,6,14,27,47,66,51,24,5",474.6717518,27.56,11,147.27,30,0,593.5,,
11,0.21046504,"94,90,83,81,85,77,74,66,62,56,56,54,48,49,42,36,37,25,19,15,17,8,12,17,33,27,22,17,2,12,34,45,52,58,55,56,65,68,64,83","43,70,71,77,84,87,65,79,88,66,76,96,80,67,66,81,96,95,90,96,71,70,63,58,58,51,48,46,27,30,29,25,35,30,24,12,17,10,2,5",532.3231738,26.79,9,140.1,40,0,568.39,,
